NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
52634,2022-052AT,Starlink-3968 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52620,2022-051U,Starlink-3969 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Vandenberg AFB,Falcon 9
52673,2022-053BC,Starlink-3970 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52640,2022-052AW,Starlink-3971 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52635,2022-053P,Starlink-3972 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52608,2022-052AZ,Starlink-3973 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52611,2022-052AN,Starlink-3974 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52687,2022-052Y,Starlink-3975 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52614,2022-053T,Starlink-3976 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52618,2022-052AU,Starlink-3977 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52621,2022-052AP,Starlink-3978 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52644,2022-052L,Starlink-3979 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52623,2022-052P,Starlink-3980 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52699,2022-053AH,Starlink-3981 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52625,2022-052S,Starlink-3982 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52630,2022-052W,Starlink-3983 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52626,2022-052Z,Starlink-3984 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52641,2022-052AY,Starlink-3985 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52627,2022-052AB,Starlink-3986 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52633,2022-053AV,Starlink-3987 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52632,2022-052AD,Starlink-3988 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52617,2022-052AJ,Starlink-3989 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52609,2022-052AE,Starlink-3990 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52610,2022-052AV,Starlink-3991 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52704,2022-052AF,Starlink-3992 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52605,2022-052AM,Starlink-3994 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52628,2022-052AL,Starlink-3995 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52612,2022-052V,Starlink-3996 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52701,2022-052M,Starlink-3997 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52656,2022-052N,Starlink-3998 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52686,2022-053BA,Starlink-3999 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52676,2022-052H,Starlink-4000 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52707,2022-052AG,Starlink-4001 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52622,2022-052Q,Starlink-4002 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52624,2022-053AX,Starlink-4003 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52862,2022-053A,Starlink-4004 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
52615,2022-053AG,Starlink-4005 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
